kaite 凯特
shenlilinghua 神里绫华
qin 琴
lvxingzhe 旅行者
lisha 丽莎
babala 芭芭拉
kaiya 凯亚
diluke 迪卢克
leize 雷泽
anbai 安柏
wendi 温迪
xiangling 香菱
beidou 北斗
xingqiu 行秋
xiao 魈
ningguang 凝光
keli 可莉
zhongli 钟离
feixieer 菲谢尔
bannite 班尼特
dadaliya 达达利亚
nuoaier 诺艾尔
qiqi 七七
zhongyun 重云
ganyu 甘雨
abeiduo 阿贝多
diaona 迪奥娜
mona 莫娜
keqing 刻晴
shatang 砂糖
xinyan 辛焱
luoshaliya 罗莎莉亚
hutao 胡桃
fengyuanwanye 枫原万叶
yanfei 烟绯
xiaogong 宵宫
tuoma 托马
youla 优菈
leidianjiangjun 雷电将军
zaoyou 早柚
shanhugongxinhai 珊瑚宫心海
wulang 五郎
jiutiaoshaluo 九条裟罗
huanglongyidou 荒泷一斗
bazhongshenzi 八重神子
luyeyuanpingcang 鹿野院平藏
yelan 夜兰
ailuoyi 埃洛伊
shenhe 申鹤
yunjin 云堇
jiuqiren 久岐忍
shenlilingren 神里绫人
kelai 柯莱
duoli 多莉
tinali 提纳里
nilu 妮露
sainuo 赛诺
kandisi 坎蒂丝
naxida 纳西妲
laiyila 莱依拉
liulangzhe 流浪者
falushan 珐露珊
yaoyao 瑶瑶
aierhaisen 艾尔海森
dixiya 迪希雅
mika 米卡
luonan 裸男
akuiliya 阿葵丽雅
erhaoji 二号机
baiheshaonv 白盒少女
dajianshaonv 大剑少女
changqiangchengnv 长枪成女
guifengdecangse 归风的苍色
xielidesongmuweilan 卸力的松木围栏
kumufangxiangbiao 枯木方向标
jianyidanrenzhangpeng 简易单人帐篷
yingdingbileizhangpeng 硬顶避雷帐篷
qingsepenquan 青色喷泉
fuqingshi 伏青石
xiuzhensongmuxiaowu 袖珍松木小屋
baojingfengyudezhuzhiweili 饱经风雨的竹制围篱
mingzhaozuoyou 明照左右
yingmubinggejia 硬木兵戈架
shamuwuqijia 杉木武器架
shamuzhiwujia 杉木置物架
zhongxingshamuduanzaozhuo 重型杉木锻造桌
kaifangshihonglugongfang 开放式烘炉工坊
kuandadesongmuzhangzhuo 宽大的松木长桌
zhuozhuangdecuihuashu 茁壮的萃华树
jiushishuijing 旧式水井
qingshanjingshuo 青衫景铄
xianquanshi 纤拳石
zhuanyiyongtudemutong 转移壅土的木桶
gaosongdemugan 高耸的木杆
gongchengzanzhudian 工程暂驻点
yewaisongmuludeng 野外松木路灯
youxudiefangdeshamujiutong 有序叠放的杉木酒桶
jianyihuoyuntuoche 简易货运拖车
jieshidemutong 结实的木桶
jianyimuzhiweilan 简易木制围栏
shigongguobandeweilan 施工过半的围栏
congyudeputaoteng 葱郁的葡萄藤
qiuqiututengweilan 丘丘图腾围栏
qiuqiumuzhiweilan 丘丘木制围栏
qiuqiudaijiaotaoguo 丘丘带角陶锅
qiuqiugongjianbiaoba 丘丘弓箭标靶
qiuqiujianyicaopeng 丘丘简易草棚
qiuqiushuangcengjingjietai 丘丘双层警戒台
qiuqiulingxiudadian 丘丘领袖大殿
qiuqiuluoxuanliaowangta 丘丘螺旋瞭望塔
qiuqiuqianshaoxiaowu 丘丘前哨小屋
qingshanwenhan 青衫问寒
maoxianjianantaozhizhong 冒险家难逃之重
mingguanyuye 明冠羽叶
xuezhedejuandai 学者的倦怠
hongyeruzhuo 红叶如灼
maoxianjiadesuishenmibao 冒险家的随身秘宝
yuejizhibi 约己之壁
pianyesufangzhuiyinzhu 片叶苏芳缀银朱
shizhiquanda 势至权达
yanyuzhengban 严谕正办
zhushiwuyi 瞩视无遗
yundizhineng 云底之能
hongleizhiyin 轰雷之音
hongyuanwenqinjue 红鸢问寝觉
pozhenyuxiang 破阵余响
mihuo 秘火
shifen 适分
wenzu 稳足
shelangshi 涉浪石
chunxiyijinran 春惜一斤染
wuyue 无越
huaxiaochutuihong 花咲初退红
baohongliulisanqianban 薄红榴璃散千瓣
jixiushi 寂修石
nuanman 暖漫
biliang 避凉
xunmanyanlaizhong 纁漫雁来中
yugamudanyinmutong 御伽木但饮木桶
houbishidantaozhishuigang 厚壁石胆陶制水缸
yugamujinzhuweilan 御伽木近竹围栏
qingkongzengcaiyouyuqi 晴空缯彩游鱼旗
yugamujinzhuyuanmen 御伽木近竹院门
yeyiruxin 野逸入心
jingdusuiyan 静度岁晏
guonongdeqinjian 果农的勤俭
jingxuzhikan 净绪之龛
ziyuantanyouhong 紫苑叹幽弘
mengjianmuchengjiansaiqianxiang 梦见木诚见塞钱箱
bangming 傍明
beidaojianxing 倍道兼行
suichezhiyu 随车致雨
xiushendixing 修身砥行
zhaojie 兆解
daigongsizhiyin 代宫司之印
mengjianmuzaiquyuqiangua 梦见木灾祛御签挂
baichensixiang 白辰嗣响
mengjianmukonghuailudeng 梦见木空怀路灯
gufaxinzaoyugamujiutong 古法新造御伽木酒桶
xiasuomicang 下索密藏
yujianmingshenzhuzunqi 御建鸣神主尊旗
jieduan 截断
zhongsu 忠肃
jianpo 尖破
zhougu 周固
shice 时策
dongjian 洞鉴
cuoya 错牙
kuci 苦刺
wanhuakongyanyue 晚花空言约
henggaozhikan 恒诰之龛
yugamujiaoyeludeng 御伽木郊野路灯
yingxilucaozishangdao 影徙露草自伤悼
